stop_id,stop_name,stop_type,coordinates
6200208410,North Bridge,bus,"[-3.188241, 55.951791]"
6200208430,South Bridge,bus,"[-3.186795, 55.949028]"
6200208460,Surgeons' Hall,bus,"[-3.184728, 55.945813]"
6200208530,St Partick Square,bus,"[-3.183011, 55.943065]"
6200208550,Bernard Terrace,bus,"[-3.18123, 55.941372]"
6200208590,East Preston Street,bus,"[-3.178398, 55.939324]"
6200208830,Commonwealth Pool,bus,"[-3.173045, 55.938329]"
6200208840,Marchhall Place,bus,"[-3.170623, 55.936855]"
6200208850,Priestfield Road,bus,"[-3.167393, 55.934316]"
6200208860,Prestonfield Avenue,bus,"[-3.165132, 55.932585]"
6200208870,Cameron Crescent,bus,"[-3.161877, 55.92974]"
6200209510,Cameron Toll,bus,"[-3.15984, 55.928519]"
6200209520,Bridgend Cottages,bus,"[-3.156773, 55.927641]"
6200209530,Craigmillar Cemetery,bus,"[-3.15318, 55.925761]"
6200209540,Walter Scott Avenue,bus,"[-3.149584, 55.923233]"
6200209550,Kingston Avenue,bus,"[-3.145093, 55.921253]"
6200209560,Craigmillar Castle Road,bus,"[-3.142312, 55.920812]"
6200209567,Little France,bus,"[-3.138848, 55.920008]"
6200209570,Little France Road,bus,"[-3.134814, 55.91832]"
6200209580,Fernieside Drive,bus,"[-3.128269, 55.914993]"
6200209590,Fernieside Grove,bus,"[-3.126008, 55.913711]"
6200239040,Fernieside Grove,bus,"[-3.126978, 55.91407]"
6200239055,Little France Road,bus,"[-3.135537, 55.918431]"
6200239060,Fernieside Drive,bus,"[-3.129597, 55.915538]"
6200239070,Little France,bus,"[-3.138843, 55.919856]"
6200239080,Craigmillar Castle Road,bus,"[-3.143322, 55.920892]"
6200239090,Kingston Avenue,bus,"[-3.147475, 55.921725]"
6200239100,Walter Scott Avenue,bus,"[-3.15082, 55.923887]"
6200239105,Craigmillar Cemetery,bus,"[-3.153956, 55.926041]"
6200239110,Bridgend Cottages,bus,"[-3.155799, 55.927201]"
6200239120,Cameron Toll,bus,"[-3.16166, 55.92838]"
6200239720,Cameron Crescent,bus,"[-3.162611, 55.93021]"
6200239730,Prestonfield Avenue,bus,"[-3.166634, 55.933577]"
6200239740,Priestfield Road,bus,"[-3.169085, 55.935243]"
6200239750,Marchhall Place,bus,"[-3.170334, 55.936318]"
6200239760,Commonwealth Pool,bus,"[-3.172707, 55.93803]"
6200240010,East Preston Street,bus,"[-3.178107, 55.939227]"
6200240020,Bernard Terrace,bus,"[-3.180853, 55.940576]"
6200240060,St Patrick Square,bus,"[-3.183305, 55.943284]"
6200240120,Surgeons' Hall,bus,"[-3.184901, 55.94574]"
6200240130,South Bridge,bus,"[-3.187254, 55.949356]"
6200600746,Bus Station,bus,"[-3.191731, 55.955396]"
6280000004,Cranston House,bus,"[-2.992209, 55.871732]"
6280000005,Viaduct,bus,"[-2.978135, 55.868754]"
6280000006,Viaduct,bus,"[-2.977867, 55.868927]"
6280000057,Main Street,bus,"[-3.031849, 55.886996]"
6280000060,Tynehead Road End,bus,"[-2.926832, 55.84498]"
6280000062,Crichton House Road End,bus,"[-2.940444, 55.850529]"
6280000063,Crichton House Road End,bus,"[-2.941359, 55.851357]"
6280000064,Village Access,bus,"[-2.901971, 55.838318]"
6280000128,Tynehead Road End,bus,"[-2.925825, 55.84497]"
6280000130,Campend,bus,"[-3.096902, 55.902805]"
6280000131,Campend,bus,"[-3.09629, 55.902649]"
6280000140,Gilston Road End,bus,"[-2.873949, 55.824818]"
6280000141,Gilston Road End,bus,"[-2.873362, 55.824301]"
6280300045,James Lean Avenue,bus,"[-3.060242, 55.891643]"
6280300050,The Wisp,bus,"[-3.116975, 55.91338]"
6280300055,Old Dalkeith Road,bus,"[-3.110014, 55.910547]"
6280300130,Lugton Brae,bus,"[-3.080356, 55.896796]"
6280300195,Glebe Street,bus,"[-3.073527, 55.895598]"
6280300347,Buccleuch Street,bus,"[-3.07057, 55.892748]"
6280300555,Bruce Gardens,bus,"[-3.057101, 55.890798]"
6280300560,Primrose Terrace,bus,"[-3.053784, 55.889946]"
6280300570,Hepburn Drive,bus,"[-3.050291, 55.889086]"
6280300680,Chesterhill,bus,"[-3.002129, 55.875282]"
6280300690,Main Street,bus,"[-2.996964, 55.873302]"
6280300710,Crichton Avenue,bus,"[-2.97051, 55.868679]"
6280300720,Oxenfoord Avenue,bus,"[-2.966698, 55.867011]"
6280300730,Roman Camp,bus,"[-2.964236, 55.865036]"
6280300740,Bowling Green,bus,"[-2.963552, 55.863864]"
628031105,Summerside,bus,"[-3.094536, 55.901145]"
6280326820,Village Access,bus,"[-2.901243, 55.837892]"
